File Name,Total Variables,Problem Type,Best Candidate,Final Score,Result,Time Taken,Max Score Improvement
instance_01.mps,5664,PB,0,2.94046e-05,0,0.368359,0.397779
instance_02.mps,146071,MB,0,1.51374e-06,0,7.50664,1.75269
instance_03.mps,2351,MI,0,5.74068e-05,0,1.57269,333.614
instance_04.mps,19061,MI,0,0.000922649,0,8.76038,15141
instance_05.mps,21451,MI,0,0.0108716,0,5.64667,35.2704
instance_06.mps,122810,PB,0,0.000243305,0,3.4044,0.862378
instance_07.mps,92552,PI,0,0,1,1.6087,4.43859
instance_08.mps,25897,PI,0,1.35819e-05,0,0.632652,1.81784e-05
instance_09.mps,466,MB,0,1.01259e-05,0,2.34388,0
instance_10.mps,210,MB,0,1.3009e-05,0,0.28908,0
instance_11.mps,51078,PB,0,5.3914e-09,1,0.589228,1.83845e-06
instance_12.mps,14740,PI,0,2.95719e-08,1,0.397796,0
instance_13.mps,1369500,PI,0,3.03657e-05,0,2.85642,0
instance_14.mps,22970,MI,0,4.46166e-06,0,7.97728,310.06
instance_15.mps,22945,MI,0,0.00319669,0,4.21148,278.652
instance_16.mps,57520,MB,0,0,1,0.501545,6.88932e-08
instance_17.mps,481390,MB,0,6.59921e-10,1,2.69697,0
instance_18.mps,5070,MB,0,0,1,0.274172,2.46535e-07
instance_19.mps,3004,MI,0,4.89156e-06,0,0.369289,0.00719604
instance_20.mps,11564,MI,0,3.85568e-05,0,1.78705,0.00440572
instance_21.mps,7078,MI,0,2.09477e-05,0,0.652224,0.00143534
instance_22.mps,2370,MB,0,0,1,0.280026,0
instance_23.mps,1360,MB,0,0,1,0.342536,0
instance_24.mps,3560,MB,0,0,1,0.381469,0
instance_25.mps,343,PB,0,0,1,0.266442,0
instance_26.mps,3125,PB,0,0,1,0.288223,0
instance_27.mps,2401,PB,0,0,1,0.318237,0
instance_28.mps,20500,MB,0,2.85515e-13,1,1.23927,6.02343e-09
instance_29.mps,81000,MB,0,7.39642e-12,1,4.29277,1.60144e-08
instance_30.mps,322000,MB,0,1.65537e-12,1,16.2059,2.64783e-10
instance_31.mps,12063,MB,0,0.055503,0,0.659807,1.92549
instance_32.mps,23728,MB,0,0.0223277,0,3.53259,0.894413
instance_33.mps,162005,MB,1,15.1518,0,66.0136,1.83146e+07
instance_34.mps,2534,PB,0,7.73039e-07,1,0.420558,0
instance_35.mps,4266,PB,0,1.73609e-06,0,0.364856,0
instance_36.mps,8375,PB,0,3.42486e-06,0,0.372391,0
instance_37.mps,936,MI,0,1.18703e-09,1,0.271311,75.5427
instance_38.mps,7104,MI,0,5.15661e-09,1,0.419379,840.613
instance_39.mps,114148,PB,0,7.96048e-08,1,1.3809,0
instance_40.mps,176810,PB,0,1.07971e-07,1,1.36981,0
instance_41.mps,989858,PB,0,2.32627e-06,0,15.447,0
instance_42.mps,142635,MB,0,0.106811,0,14.1239,6558.9
instance_43.mps,196354,MB,0,0.429615,0,18.2355,8328.2
instance_44.mps,547274,MI,0,0.556103,0,11.7214,8944.89
instance_45.mps,1292,PB,0,7.4722e-07,1,0.272348,0
instance_46.mps,1277,MB,0,0.000107095,0,0.34167,0
instance_47.mps,1206,MB,0,3.92475e-12,1,0.677143,0.0742269
instance_48.mps,828002,PI,0,0.00122435,0,3.64049,0.108839
instance_49.mps,1457386,PI,0,0.000108431,0,16.9255,1096.08
instance_50.mps,1372839,PI,0,0.0376839,0,8.79275,0.958439
